Date;Opp;W/L;time;2P;3P;1P;Off Reb;Def Reb;Assist;Steal;Foul;Points;Game Score
2016-10-25;NYK;W;32:23;9;0;1;3;8;14;0;3;19;22.2
2016-10-28;TOR;W;38:40;5;2;5;2;6;7;0;2;21;14.1
2016-10-29;ORL;W;39:00;5;2;7;1;5;9;1;2;23;20.4
2016-11-01;HOU;W;35:51;5;1;6;3;10;8;0;4;19;16.5
2016-11-03;BOS;W;36:22;11;1;5;1;6;12;1;2;30;28.5
2016-11-05;PHI;W;35:52;8;1;6;1;7;14;2;1;25;22.0
2016-11-08;ATL;L;36:52;6;2;5;2;7;5;3;3;23;22.1
2016-11-11;WAS;W;38:06;6;3;6;0;10;5;2;1;27;20.3
2016-11-13;CHO;W;38:42;6;2;1;0;8;8;1;0;19;13.8
2016-11-15;TOR;W;38:04;8;2;6;0;9;15;1;2;28;28.3
2016-11-18;DET;W;28:03;8;1;2;0;3;3;0;1;21;15.7
2016-11-23;POR;W;37:30;9;2;7;1;9;13;3;0;31;32.8
2016-11-25;DAL;W;29:03;4;2;5;0;5;11;1;1;19;18.1
2016-11-27;PHI;W;41:30;8;1;7;2;8;13;1;0;26;24.4
2016-11-29;MIL;L;32:53;5;3;3;0;4;4;0;3;22;8.2
2016-12-01;LAC;L;33:37;5;0;6;1;4;5;2;2;16;7.8
2016-12-02;CHI;L;44:40;12;1;0;0;5;13;0;2;27;18.6
2016-12-05;TOR;W;42:01;10;2;8;3;5;7;2;2;34;28.9
2016-12-07;NYK;W;32:27;6;1;10;2;4;7;1;2;25;24.3
2016-12-09;MIA;W;37:19;11;1;2;2;6;8;3;2;27;23.6
2016-12-10;CHO;W;42:27;12;5;5;1;8;10;3;3;44;40.0
2016-12-13;MEM;W;36:29;9;0;5;1;5;8;3;1;23;17.9
2016-12-17;LAL;W;38:55;7;2;6;1;6;9;2;1;26;24.8
2016-12-20;MIL;W;47:29;7;5;5;3;9;7;1;2;34;29.5
